iter	RMSE
0	4.742975874
1	4.668987123
2	4.586365947
3	4.506390086
4	4.435434415
5	4.371472026
6	4.303119762
7	4.239938314
8	4.180591786
9	4.125656769
10	4.07134633
11	4.023961603
12	3.979747884
13	3.935452742
14	3.898463038
15	3.857981044
16	3.821973489
17	3.78754136
18	3.75837351
19	3.730912156
20	3.703938925
21	3.672284796
22	3.646004812
23	3.622966532
24	3.59848151
25	3.572439608
26	3.554000613
27	3.535262048
28	3.51383896
29	3.493255088
30	3.478559933
31	3.46230637
32	3.443752186
33	3.427596299
34	3.410612129
35	3.393393146
36	3.380993735
37	3.36718353
38	3.354726238
39	3.338355497
40	3.324846435
41	3.314332574
42	3.302605067
43	3.294057327
44	3.281861487
45	3.268760736
46	3.26175897
47	3.253954502
48	3.244008119
49	3.238830137
50	3.230763846
51	3.218684444
52	3.21149345
53	3.202861622
54	3.198084019
55	3.19272607
56	3.18551066
57	3.176597223
58	3.168802336
59	3.159597153
60	3.151042084
61	3.145550507
62	3.136519604
63	3.131177207
64	3.124644128
65	3.119597409
66	3.113107509
67	3.10570952
68	3.098888775
69	3.092573456
70	3.088206791
71	3.08390508
72	3.077751219
73	3.070112823
74	3.064857516
75	3.060784907
76	3.056159406
77	3.051653714
78	3.04471308
79	3.038855146
80	3.03006044
81	3.024930453
82	3.01817644
83	3.010544634
84	3.006485059
85	3.003267718
86	2.995133625
87	2.990692958
88	2.984917718
89	2.981858118
90	2.978141192
91	2.972458651
92	2.967684481
93	2.962219604
94	2.957491189
95	2.953999631
96	2.950200093
97	2.945211654
98	2.941456729
99	2.936679407
100	2.932324542
101	2.926578055
102	2.922847225
103	2.919714064
104	2.916837614
105	2.914745762
106	2.912335913
107	2.907385993
108	2.902553379
109	2.899772421
110	2.894253128
111	2.88936912
112	2.886433036
113	2.883306308
114	2.879589598
115	2.875353365
116	2.872580394
117	2.868456172
118	2.863550383
119	2.858960236
120	2.854452504
121	2.850570223
122	2.847291216
123	2.840984536
124	2.836180961
125	2.832331527
126	2.8284107
127	2.825066989
128	2.822184461
129	2.816744586
130	2.813441171
131	2.811537657
132	2.8076988
133	2.806130397
134	2.803426607
135	2.799633482
136	2.79810764
137	2.796406084
138	2.79463542
139	2.789856174
140	2.787636574
141	2.78480177
142	2.781857175
143	2.777520835
144	2.774021323
145	2.770483587
146	2.768347796
147	2.764784143
148	2.759978148
149	2.757584456
150	2.753853212
151	2.749976956
152	2.746682301
153	2.743539248
154	2.740831865
155	2.737104881
156	2.732676095
157	2.729483181
158	2.727553548
159	2.721057148
160	2.71788539
161	2.716806582
162	2.713932773
163	2.710158306
164	2.708090872
165	2.705249943
166	2.701178386
167	2.698989216
168	2.695593656
169	2.692104429
170	2.687390201
171	2.683998639
172	2.679276802
173	2.676371141
174	2.672208535
175	2.668520255
176	2.665489435
177	2.662015637
178	2.658028427
179	2.656029624
180	2.653247847
181	2.65125434
182	2.648902407
183	2.646313485
184	2.642495082
185	2.638590891
186	2.63724902
187	2.633172926
188	2.630942826
189	2.627486563
190	2.622757104
191	2.618956908
192	2.616062
193	2.612750679
194	2.610120968
195	2.606734995
196	2.603737282
197	2.600484637
198	2.598821439
199	2.597489802
200	2.596183119
201	2.592628831
202	2.589366378
203	2.587168645
204	2.583925429
205	2.582443682
206	2.580443695
207	2.577691907
208	2.573781798
209	2.571140735
210	2.56967725
211	2.566329572
212	2.563949728
213	2.562041091
214	2.559578101
215	2.556621906
216	2.554679138
217	2.549338499
218	2.547481207
219	2.546082808
220	2.542930388
221	2.539957544
222	2.537451054
223	2.536183739
224	2.535266741
225	2.533879599
226	2.530525136
227	2.5294339
228	2.528922015
229	2.526953592
230	2.521034578
231	2.515104769
232	2.511226508
233	2.510097922
234	2.50906379
235	2.508068421
236	2.506779247
237	2.503188834
238	2.502022164
239	2.500034866
240	2.497745385
241	2.495821992
242	2.492877222
243	2.489478186
244	2.488762643
245	2.484275928
246	2.479274101
247	2.47614381
248	2.475137303
249	2.470285693
250	2.466863773
251	2.465350857
252	2.460672611
253	2.457481519
