iter	Passed	Remaining
0	136	136468
1	139	69448
2	141	47174
3	144	36085
4	147	29275
5	149	24779
6	151	21508
7	153	19072
8	155	17164
9	158	15654
10	160	14407
11	162	13388
12	165	12547
13	167	11815
14	169	11155
15	171	10572
16	173	10050
17	175	9577
18	177	9168
19	179	8797
20	181	8459
21	183	8148
22	185	7872
23	187	7613
24	189	7382
25	191	7158
26	192	6950
27	194	6767
28	196	6584
29	198	6416
30	200	6260
31	202	6110
32	203	5966
33	205	5832
34	207	5708
35	208	5593
36	210	5480
37	212	5374
38	214	5275
39	215	5183
40	217	5089
41	219	5002
42	221	4918
43	222	4837
44	224	4758
45	225	4686
46	227	4619
47	229	4550
48	231	4485
49	232	4421
50	234	4361
51	236	4304
52	237	4245
53	239	4190
54	240	4138
55	242	4086
56	243	4035
57	245	3988
58	247	3941
59	248	3897
60	250	3854
61	251	3810
62	253	3769
63	255	3730
64	256	3690
65	258	3652
66	259	3614
67	261	3579
68	262	3544
69	264	3509
70	265	3477
71	267	3442
72	268	3409
73	269	3376
74	271	3345
75	272	3315
76	274	3287
77	276	3262
78	277	3236
79	279	3211
80	280	3184
81	282	3158
82	283	3131
83	284	3107
84	286	3085
85	288	3062
86	289	3041
87	291	3019
88	293	3000
89	294	2980
90	296	2960
91	298	2941
92	299	2921
93	301	2902
94	302	2883
95	304	2866
96	306	2850
97	307	2832
98	309	2815
99	311	2799
100	312	2785
101	314	2772
102	316	2758
103	318	2744
104	320	2729
105	322	2717
106	323	2703
107	325	2691
108	327	2678
109	329	2665
110	331	2654
111	333	2643
112	335	2631
113	336	2618
114	338	2606
115	340	2595
116	342	2583
117	343	2571
118	345	2559
119	347	2550
120	349	2539
121	351	2528
122	353	2519
123	355	2510
124	357	2501
125	359	2493
126	361	2485
127	363	2477
128	365	2470
129	367	2462
130	369	2451
131	371	2441
132	373	2433
133	375	2426
134	377	2418
135	379	2411
136	381	2403
137	383	2396
138	385	2389
139	387	2382
140	389	2375
141	392	2370
142	395	2367
143	397	2363
144	400	2360
145	402	2352
146	404	2346
147	407	2344
148	409	2339
149	411	2333
150	414	2329
151	416	2323
152	418	2316
153	421	2314
154	423	2308
155	426	2305
156	428	2300
157	430	2295
158	432	2289
159	434	2283
160	437	2278
161	439	2274
162	442	2270
163	444	2267
164	447	2264
165	450	2262
166	453	2260
167	456	2259
168	459	2257
169	461	2254
170	464	2251
171	467	2250
172	470	2248
173	472	2244
174	474	2239
175	477	2236
176	480	2232
177	482	2227
178	484	2222
179	487	2220
180	489	2216
181	492	2214
182	495	2211
183	498	2209
184	500	2206
185	503	2204
186	506	2201
187	509	2199
188	512	2198
189	515	2196
190	517	2194
191	520	2191
192	523	2188
193	526	2186
194	528	2183
195	531	2181
196	534	2177
197	536	2171
198	538	2166
199	540	2161
200	542	2156
201	544	2152
202	547	2149
203	549	2144
204	551	2140
205	554	2137
206	557	2134
207	559	2132
208	562	2129
209	565	2127
210	568	2125
211	571	2123
212	573	2120
213	576	2118
214	579	2116
215	581	2111
216	583	2105
217	585	2101
218	587	2096
219	589	2090
220	592	2087
221	594	2083
222	597	2080
223	600	2078
224	602	2074
225	604	2069
226	607	2067
227	609	2063
228	611	2059
229	613	2054
230	615	2050
231	617	2045
232	619	2040
233	621	2035
234	623	2031
235	626	2026
236	628	2023
237	631	2021
238	633	2018
239	636	2016
240	639	2013
241	641	2008
242	643	2006
243	647	2004
244	649	2002
245	652	2000
246	655	1998
247	658	1996
248	661	1993
249	663	1991
250	665	1986
251	668	1982
252	670	1978
253	672	1974
254	674	1969
255	676	1966
256	679	1964
257	682	1962
258	685	1960
259	687	1956
260	690	1954
261	692	1951
262	694	1946
263	697	1944
264	700	1941
265	702	1939
266	705	1937
267	708	1934
268	710	1930
269	712	1926
270	714	1922
271	716	1917
272	718	1912
273	720	1908
274	722	1904
275	724	1901
276	727	1899
277	730	1897
278	733	1894
279	735	1890
280	738	1888
281	740	1886
282	743	1884
283	746	1881
284	749	1879
285	752	1877
286	754	1875
287	757	1873
288	760	1871
289	763	1869
290	766	1866
291	768	1862
292	770	1858
293	772	1854
294	774	1851
295	777	1848
296	779	1844
297	782	1842
298	784	1840
299	787	1838
300	790	1835
301	793	1833
302	796	1831
303	799	1830
304	801	1825
305	803	1822
306	805	1819
307	808	1817
308	811	1815
309	814	1813
310	817	1811
311	820	1809
312	823	1807
313	825	1803
314	827	1798
315	828	1794
316	830	1789
317	832	1785
318	834	1782
319	836	1778
320	838	1774
321	840	1770
322	842	1765
323	844	1761
324	846	1757
325	849	1756
326	852	1753
327	854	1750
328	856	1745
329	857	1741
330	859	1737
331	862	1734
332	864	1731
333	866	1727
334	867	1722
335	869	1719
336	871	1714
337	873	1711
338	875	1708
339	878	1704
340	880	1701
341	882	1698
342	884	1694
343	886	1690
344	888	1687
345	890	1683
346	892	1680
347	895	1676
348	896	1672
349	898	1669
350	900	1665
351	902	1662
352	904	1658
353	906	1654
354	909	1651
355	910	1647
356	912	1644
357	915	1641
358	918	1639
359	920	1637
360	923	1634
361	925	1631
362	928	1629
363	931	1626
364	933	1624
365	936	1622
366	939	1619
367	941	1617
368	944	1614
369	946	1610
370	947	1607
371	950	1603
372	952	1600
373	954	1597
374	956	1594
375	958	1590
376	960	1587
377	962	1583
378	964	1580
379	966	1576
380	968	1573
381	971	1571
382	973	1568
383	975	1565
384	978	1562
385	980	1559
386	982	1556
387	985	1554
388	987	1550
389	989	1548
390	992	1545
391	995	1543
392	997	1541
393	1000	1539
394	1003	1536
395	1005	1534
396	1008	1531
397	1011	1529
398	1014	1527
399	1016	1525
400	1019	1522
401	1021	1518
402	1023	1515
403	1025	1513
404	1028	1510
405	1030	1507
406	1032	1504
407	1034	1500
408	1036	1497
409	1038	1494
410	1040	1491
411	1042	1487
412	1044	1484
413	1046	1481
414	1048	1477
415	1050	1474
416	1052	1471
417	1055	1468
418	1057	1466
419	1060	1464
420	1063	1462
421	1065	1459
422	1067	1456
423	1069	1453
424	1071	1450
425	1074	1447
426	1075	1443
427	1078	1440
428	1080	1437
429	1081	1434
430	1084	1431
431	1085	1427
432	1087	1424
433	1089	1420
434	1091	1417
435	1093	1414
436	1094	1410
437	1096	1407
438	1098	1403
439	1101	1401
440	1103	1398
441	1106	1396
442	1108	1393
443	1111	1391
444	1113	1388
445	1116	1386
446	1118	1384
447	1120	1381
448	1122	1378
449	1125	1375
450	1128	1373
451	1130	1370
452	1132	1367
453	1134	1364
454	1136	1361
455	1138	1358
456	1140	1355
457	1142	1351
458	1143	1348
459	1145	1344
460	1147	1341
461	1149	1338
462	1151	1335
463	1153	1332
464	1155	1329
465	1157	1326
466	1159	1323
467	1161	1320
468	1163	1316
469	1164	1313
470	1166	1310
471	1169	1308
472	1171	1305
473	1174	1303
474	1176	1300
475	1179	1298
476	1182	1296
477	1184	1293
478	1186	1290
479	1187	1286
480	1189	1283
481	1191	1280
482	1193	1277
483	1194	1273
484	1196	1270
485	1199	1268
486	1201	1265
487	1203	1262
488	1205	1259
489	1207	1256
490	1209	1253
491	1211	1250
492	1213	1248
493	1216	1245
494	1218	1242
495	1220	1239
496	1222	1237
497	1224	1234
498	1226	1231
499	1228	1228
500	1231	1226
501	1233	1223
502	1236	1221
503	1238	1219
504	1241	1217
505	1244	1214
506	1246	1212
507	1249	1209
508	1250	1206
509	1252	1203
510	1255	1201
511	1257	1198
512	1259	1195
513	1261	1192
514	1263	1189
515	1264	1186
516	1267	1183
517	1269	1180
518	1271	1178
519	1273	1175
520	1275	1172
521	1276	1169
522	1278	1166
523	1281	1164
524	1283	1161
525	1286	1159
526	1288	1156
527	1291	1154
528	1294	1152
529	1296	1149
530	1299	1147
531	1301	1144
532	1303	1142
533	1306	1139
534	1308	1137
535	1311	1135
536	1314	1133
537	1316	1130
538	1319	1128
539	1321	1125
540	1324	1123
541	1326	1121
542	1329	1118
543	1331	1116
544	1334	1114
545	1336	1111
546	1338	1108
547	1340	1106
548	1343	1103
549	1346	1101
550	1347	1098
551	1350	1096
552	1352	1093
553	1355	1091
554	1358	1088
555	1360	1086
556	1362	1083
557	1363	1080
558	1365	1077
559	1367	1074
560	1369	1071
561	1371	1068
562	1373	1066
563	1375	1063
564	1377	1060
565	1379	1057
566	1380	1054
567	1382	1051
568	1384	1048
569	1386	1045
570	1388	1043
571	1390	1040
572	1392	1037
573	1394	1034
574	1396	1031
575	1398	1029
576	1400	1026
577	1402	1023
578	1404	1020
579	1406	1018
580	1408	1015
581	1411	1013
582	1413	1011
583	1416	1008
584	1418	1006
585	1421	1003
586	1423	1001
587	1425	999
588	1428	997
589	1431	994
590	1433	992
591	1436	990
592	1438	987
593	1441	985
594	1443	982
595	1445	980
596	1448	977
597	1450	975
598	1453	973
599	1455	970
600	1457	967
601	1459	965
602	1462	962
603	1465	960
604	1467	958
605	1470	956
606	1473	953
607	1475	951
608	1478	949
609	1481	947
610	1484	944
611	1486	942
612	1489	940
613	1491	937
614	1494	935
615	1496	933
616	1499	930
617	1502	928
618	1504	926
619	1507	923
620	1509	921
621	1512	919
622	1515	916
623	1517	914
624	1519	911
625	1522	909
626	1524	907
627	1527	904
628	1529	902
629	1531	899
630	1533	896
631	1535	893
632	1537	891
633	1539	888
634	1541	886
635	1543	883
636	1545	880
637	1547	877
638	1549	875
639	1552	873
640	1555	871
641	1557	868
642	1560	866
643	1563	864
644	1566	861
645	1568	859
646	1571	857
647	1574	855
648	1576	852
649	1579	850
650	1581	848
651	1584	845
652	1587	843
653	1590	841
654	1592	838
655	1595	836
656	1598	834
657	1601	832
658	1603	829
659	1606	827
660	1608	824
661	1610	822
662	1612	819
663	1613	816
664	1616	814
665	1619	812
666	1621	809
667	1622	806
668	1624	803
669	1627	801
670	1629	799
671	1632	796
672	1634	794
673	1638	792
674	1640	789
675	1642	787
676	1644	784
677	1646	782
678	1649	779
679	1652	777
680	1654	775
681	1657	772
682	1660	770
683	1663	768
684	1666	766
685	1669	763
686	1671	761
687	1673	758
688	1675	756
689	1678	754
690	1681	751
691	1683	749
692	1686	747
693	1688	744
694	1691	742
695	1694	739
696	1696	737
697	1699	735
698	1701	732
699	1704	730
700	1707	728
701	1708	725
702	1711	723
703	1713	720
704	1714	717
705	1716	714
706	1719	712
707	1721	710
708	1724	707
709	1727	705
710	1729	703
711	1732	700
712	1735	698
713	1738	696
714	1740	693
715	1743	691
716	1746	689
717	1748	686
718	1750	684
719	1752	681
720	1755	679
721	1756	676
722	1759	674
723	1761	671
724	1763	668
725	1765	666
726	1767	663
727	1769	661
728	1771	658
729	1774	656
730	1776	653
731	1778	651
732	1780	648
733	1782	646
734	1785	643
735	1787	641
736	1789	638
737	1791	636
738	1793	633
739	1795	630
740	1796	628
741	1798	625
742	1800	622
743	1802	620
744	1804	617
745	1806	615
746	1808	612
747	1810	609
748	1812	607
749	1813	604
750	1815	601
751	1818	599
752	1820	597
753	1822	594
754	1824	592
755	1826	589
756	1827	586
757	1829	584
758	1831	581
759	1834	579
760	1835	576
761	1838	574
762	1840	571
763	1842	569
764	1844	566
765	1847	564
766	1850	562
767	1852	559
768	1855	557
769	1857	554
770	1860	552
771	1862	550
772	1864	547
773	1866	544
774	1869	542
775	1871	540
776	1874	537
777	1876	535
778	1878	533
779	1880	530
780	1882	527
781	1884	525
782	1886	522
783	1888	520
784	1890	517
785	1893	515
786	1896	513
787	1898	510
788	1901	508
789	1904	506
790	1906	503
791	1907	501
792	1909	498
793	1912	496
794	1914	493
795	1916	491
796	1918	488
797	1920	486
798	1922	483
799	1924	481
800	1926	478
801	1929	476
802	1932	473
803	1934	471
804	1937	469
805	1940	466
806	1942	464
807	1945	462
808	1947	459
809	1949	457
810	1951	454
811	1953	452
812	1955	449
813	1957	447
814	1959	444
815	1961	442
816	1964	440
817	1967	437
818	1970	435
819	1972	433
820	1975	430
821	1978	428
822	1981	426
823	1984	423
824	1986	421
825	1989	419
826	1992	416
827	1994	414
828	1996	411
829	1999	409
830	2001	407
831	2003	404
832	2005	402
833	2008	399
834	2011	397
835	2013	395
836	2016	392
837	2018	390
838	2021	387
839	2024	385
840	2026	383
841	2028	380
842	2031	378
843	2033	375
844	2036	373
845	2038	371
846	2039	368
847	2041	365
848	2044	363
849	2047	361
850	2049	358
851	2052	356
852	2055	354
853	2057	351
854	2060	349
855	2063	347
856	2066	344
857	2069	342
858	2072	340
859	2074	337
860	2075	335
861	2077	332
862	2079	330
863	2081	327
864	2083	325
865	2085	322
866	2087	320
867	2089	317
868	2091	315
869	2093	312
870	2096	310
871	2097	307
872	2099	305
873	2101	302
874	2103	300
875	2105	298
876	2108	295
877	2111	293
878	2113	290
879	2116	288
880	2119	286
881	2121	283
882	2123	281
883	2125	278
884	2128	276
885	2130	274
886	2133	271
887	2136	269
888	2139	267
889	2141	264
890	2144	262
891	2146	259
892	2149	257
893	2152	255
894	2155	252
895	2157	250
896	2159	247
897	2161	245
898	2163	243
899	2165	240
900	2168	238
901	2169	235
902	2171	233
903	2173	230
904	2174	228
905	2176	225
